State,Date,Hourly Demand Met (in MW),
Uttar Pradesh - 2024,01-Jan 12am,11814.97,
Uttar Pradesh - 2024,01-Jan 1am,11077.99,
Uttar Pradesh - 2024,01-Jan 2am,10675.53,
Uttar Pradesh - 2024,01-Jan 3am,10601.45,
Uttar Pradesh - 2024,01-Jan 4am,11307.93,
Uttar Pradesh - 2024,01-Jan 5am,12610.84,
Uttar Pradesh - 2024,01-Jan 6am,12408.39,
Uttar Pradesh - 2024,01-Jan 7am,12610.58,
Uttar Pradesh - 2024,01-Jan 8am,14942.65,
Uttar Pradesh - 2024,01-Jan 9am,16146.94,
Uttar Pradesh - 2024,01-Jan 10am,16961.32,
Uttar Pradesh - 2024,01-Jan 11am,17474.19,
Uttar Pradesh - 2024,01-Jan 12pm,17249.85,
Uttar Pradesh - 2024,01-Jan 1pm,16781.82,
Uttar Pradesh - 2024,01-Jan 2pm,14906.52,
Uttar Pradesh - 2024,01-Jan 3pm,10329.57,
Uttar Pradesh - 2024,01-Jan 4pm,12371.3,
Uttar Pradesh - 2024,01-Jan 5pm,15896.23,
Uttar Pradesh - 2024,01-Jan 6pm,19395.16,
Uttar Pradesh - 2024,01-Jan 7pm,19274.63,
Uttar Pradesh - 2024,01-Jan 8pm,18118.19,
Uttar Pradesh - 2024,01-Jan 9pm,16434.43,
Uttar Pradesh - 2024,01-Jan 10pm,14448.95,
Uttar Pradesh - 2024,01-Jan 11pm,12790.74,
Uttar Pradesh - 2024,02-Jan 12am,11635.17,
Uttar Pradesh - 2024,02-Jan 1am,10909.84,
Uttar Pradesh - 2024,02-Jan 2am,10481.48,
Uttar Pradesh - 2024,02-Jan 3am,10409.12,
Uttar Pradesh - 2024,02-Jan 4am,10863.5,
Uttar Pradesh - 2024,02-Jan 5am,12046.82,
Uttar Pradesh - 2024,02-Jan 6am,11815.45,
Uttar Pradesh - 2024,02-Jan 7am,12168.14,
Uttar Pradesh - 2024,02-Jan 8am,14610.63,
Uttar Pradesh - 2024,02-Jan 9am,15894.21,
Uttar Pradesh - 2024,02-Jan 10am,16479.92,
Uttar Pradesh - 2024,02-Jan 11am,17184.36,
Uttar Pradesh - 2024,02-Jan 12pm,16918.6,
Uttar Pradesh - 2024,02-Jan 1pm,16037,
Uttar Pradesh - 2024,02-Jan 2pm,14952.08,
Uttar Pradesh - 2024,02-Jan 3pm,12989.07,
Uttar Pradesh - 2024,02-Jan 4pm,12802.67,
Uttar Pradesh - 2024,02-Jan 5pm,16039.86,
Uttar Pradesh - 2024,02-Jan 6pm,18983.81,
Uttar Pradesh - 2024,02-Jan 7pm,19670.29,
Uttar Pradesh - 2024,02-Jan 8pm,18991.48,
Uttar Pradesh - 2024,02-Jan 9pm,17420.17,
Uttar Pradesh - 2024,02-Jan 10pm,15364.31,
Uttar Pradesh - 2024,02-Jan 11pm,13507.25,
Uttar Pradesh - 2024,03-Jan 12am,12209.24,
Uttar Pradesh - 2024,03-Jan 1am,11416.44,
Uttar Pradesh - 2024,03-Jan 2am,10957.27,
Uttar Pradesh - 2024,03-Jan 3am,10683.46,
Uttar Pradesh - 2024,03-Jan 4am,10879.69,
Uttar Pradesh - 2024,03-Jan 5am,11856.66,
Uttar Pradesh - 2024,03-Jan 6am,10858.76,
Uttar Pradesh - 2024,03-Jan 7am,10662.59,
Uttar Pradesh - 2024,03-Jan 8am,12894.41,
Uttar Pradesh - 2024,03-Jan 9am,14519.26,
Uttar Pradesh - 2024,03-Jan 10am,15667.85,
Uttar Pradesh - 2024,03-Jan 11am,16161.13,
Uttar Pradesh - 2024,03-Jan 12pm,16479.46,
Uttar Pradesh - 2024,03-Jan 1pm,16569.23,
Uttar Pradesh - 2024,03-Jan 2pm,15639.84,
Uttar Pradesh - 2024,03-Jan 3pm,15010.73,
Uttar Pradesh - 2024,03-Jan 4pm,13859.99,
Uttar Pradesh - 2024,03-Jan 5pm,16333.22,
Uttar Pradesh - 2024,03-Jan 6pm,18824.44,
Uttar Pradesh - 2024,03-Jan 7pm,19592.06,
Uttar Pradesh - 2024,03-Jan 8pm,19153.92,
Uttar Pradesh - 2024,03-Jan 9pm,17389.64,
Uttar Pradesh - 2024,03-Jan 10pm,15382.02,
Uttar Pradesh - 2024,03-Jan 11pm,13670.98,
Uttar Pradesh - 2024,04-Jan 12am,12319.06,
Uttar Pradesh - 2024,04-Jan 1am,11547.08,
Uttar Pradesh - 2024,04-Jan 2am,11172.52,
Uttar Pradesh - 2024,04-Jan 3am,11110.56,
Uttar Pradesh - 2024,04-Jan 4am,11743.07,
Uttar Pradesh - 2024,04-Jan 5am,12358.96,
Uttar Pradesh - 2024,04-Jan 6am,12357.28,
Uttar Pradesh - 2024,04-Jan 7am,13015.93,
Uttar Pradesh - 2024,04-Jan 8am,15024.12,
Uttar Pradesh - 2024,04-Jan 9am,15740.99,
Uttar Pradesh - 2024,04-Jan 10am,16750.56,
Uttar Pradesh - 2024,04-Jan 11am,17043.34,
Uttar Pradesh - 2024,04-Jan 12pm,16763.25,
Uttar Pradesh - 2024,04-Jan 1pm,16689.55,
Uttar Pradesh - 2024,04-Jan 2pm,15852.87,
Uttar Pradesh - 2024,04-Jan 3pm,14245.34,
Uttar Pradesh - 2024,04-Jan 4pm,13330.42,
Uttar Pradesh - 2024,04-Jan 5pm,15558.95,
Uttar Pradesh - 2024,04-Jan 6pm,17878.31,
Uttar Pradesh - 2024,04-Jan 7pm,19099.38,
Uttar Pradesh - 2024,04-Jan 8pm,19240.24,
Uttar Pradesh - 2024,04-Jan 9pm,17948.13,
Uttar Pradesh - 2024,04-Jan 10pm,15944.27,
Uttar Pradesh - 2024,04-Jan 11pm,14143.31,
Uttar Pradesh - 2024,05-Jan 12am,12728.96,
Uttar Pradesh - 2024,05-Jan 1am,12023.57,
Uttar Pradesh - 2024,05-Jan 2am,11717.7,
Uttar Pradesh - 2024,05-Jan 3am,11725.77,
Uttar Pradesh - 2024,05-Jan 4am,12070.63,
Uttar Pradesh - 2024,05-Jan 5am,13567.74,
Uttar Pradesh - 2024,05-Jan 6am,13376.74,
Uttar Pradesh - 2024,05-Jan 7am,12591.02,
Uttar Pradesh - 2024,05-Jan 8am,14465.19,
Uttar Pradesh - 2024,05-Jan 9am,15427.19,
Uttar Pradesh - 2024,05-Jan 10am,16496.63,
Uttar Pradesh - 2024,05-Jan 11am,16783.86,
Uttar Pradesh - 2024,05-Jan 12pm,16464.83,
Uttar Pradesh - 2024,05-Jan 1pm,17092.26,
Uttar Pradesh - 2024,05-Jan 2pm,16776.12,
Uttar Pradesh - 2024,05-Jan 3pm,14588.38,
Uttar Pradesh - 2024,05-Jan 4pm,13318.73,
Uttar Pradesh - 2024,05-Jan 5pm,15388.7,
Uttar Pradesh - 2024,05-Jan 6pm,17650.38,
Uttar Pradesh - 2024,05-Jan 7pm,18876.88,
Uttar Pradesh - 2024,05-Jan 8pm,18728.49,
Uttar Pradesh - 2024,05-Jan 9pm,17243.78,
Uttar Pradesh - 2024,05-Jan 10pm,15369.9,
Uttar Pradesh - 2024,05-Jan 11pm,13580.17,
Uttar Pradesh - 2024,06-Jan 12am,12359.54,
Uttar Pradesh - 2024,06-Jan 1am,11638.26,
Uttar Pradesh - 2024,06-Jan 2am,11196.6,
Uttar Pradesh - 2024,06-Jan 3am,11065.76,
Uttar Pradesh - 2024,06-Jan 4am,11595.48,
Uttar Pradesh - 2024,06-Jan 5am,13136.52,
Uttar Pradesh - 2024,06-Jan 6am,14331.23,
Uttar Pradesh - 2024,06-Jan 7am,14494.75,
Uttar Pradesh - 2024,06-Jan 8am,14999.11,
Uttar Pradesh - 2024,06-Jan 9am,14915.28,
Uttar Pradesh - 2024,06-Jan 10am,16584.83,
Uttar Pradesh - 2024,06-Jan 11am,17081.7,
Uttar Pradesh - 2024,06-Jan 12pm,18025.09,
Uttar Pradesh - 2024,06-Jan 1pm,17505.2,
Uttar Pradesh - 2024,06-Jan 2pm,15803.56,
Uttar Pradesh - 2024,06-Jan 3pm,12798.21,
Uttar Pradesh - 2024,06-Jan 4pm,11262.78,
Uttar Pradesh - 2024,06-Jan 5pm,15583.54,
Uttar Pradesh - 2024,06-Jan 6pm,18895.2,
Uttar Pradesh - 2024,06-Jan 7pm,20320.76,
Uttar Pradesh - 2024,06-Jan 8pm,19415.46,
Uttar Pradesh - 2024,06-Jan 9pm,17736.16,
Uttar Pradesh - 2024,06-Jan 10pm,15716.78,
Uttar Pradesh - 2024,06-Jan 11pm,14009.17,
Uttar Pradesh - 2024,07-Jan 12am,12692.96,
Uttar Pradesh - 2024,07-Jan 1am,11912.68,
Uttar Pradesh - 2024,07-Jan 2am,11511.37,
Uttar Pradesh - 2024,07-Jan 3am,11427.58,
Uttar Pradesh - 2024,07-Jan 4am,11945.64,
Uttar Pradesh - 2024,07-Jan 5am,13258.36,
Uttar Pradesh - 2024,07-Jan 6am,14128.82,
Uttar Pradesh - 2024,07-Jan 7am,15214.5,
Uttar Pradesh - 2024,07-Jan 8am,15308.7,
Uttar Pradesh - 2024,07-Jan 9am,14951,
Uttar Pradesh - 2024,07-Jan 10am,16587.9,
