actual_demand,predicted_demand,temp_weighted,month,holiday,is_weekend,hour,minute,y_lag_1,y_lag_24h,y_lag_7d
3089.04,,4.2,1,0,1,6,55,3017.37,2270.74,2945.38
3190.4,,4.1,1,0,1,7,0,3089.04,2266.87,2915.42
3275.14,,4.1,1,0,1,7,5,3190.4,2310.39,2882.33
3370.7,,4.1,1,0,1,7,10,3275.14,2323.2,2829.4
3448.45,,4.1,1,0,1,7,15,3370.7,2393.8,2795.12
3566.68,,4.1,1,0,1,7,20,3448.45,2476.37,2747.19
3636.73,,4.1,1,0,1,7,25,3566.68,2515.28,2724.4
3715.34,,4.1,1,0,1,7,30,3636.73,2607.19,2672.87
3817.47,,4.1,1,0,1,7,35,3715.34,2613.08,2646.91
3887.54,,4.1,1,0,1,7,40,3817.47,2680.7,2613.87
3969.45,,4.1,1,0,1,7,45,3887.54,2744.33,2578.3
4049.95,,4.1,1,0,1,7,50,3969.45,2767.9,2554.24
4081.87,,4.1,1,0,1,7,55,4049.95,2831.87,2533.01
4154.23,,6.0,1,0,1,8,0,4081.87,2878.46,2494.71
4166.04,,6.0,1,0,1,8,5,4154.23,2940.06,2473.73
4204.76,,6.0,1,0,1,8,10,4166.04,2952.92,2436.59
4235.26,,6.0,1,0,1,8,15,4204.76,3020.13,2419.39
4280.69,,6.0,1,0,1,8,20,4235.26,3049.12,2403.38
4350.93,,6.0,1,0,1,8,25,4280.69,3152.44,2388.77
4303.04,,6.0,1,0,1,8,30,4350.93,3178.88,2370.41
4315.96,,6.0,1,0,1,8,35,4303.04,3309.98,2349.6
4317.39,,6.0,1,0,1,8,40,4315.96,3357.98,2336.23
4361.27,,6.0,1,0,1,8,45,4317.39,3451.84,2320.01
4342.35,,6.0,1,0,1,8,50,4361.27,3534.07,2306.02
4388.76,,6.0,1,0,1,8,55,4342.35,3566.32,2289.73
4438.54,,9.6,1,0,1,9,0,4388.76,3651.12,2287.9
4451.94,,9.6,1,0,1,9,5,4438.54,3702.58,2278.91
4539.47,,9.6,1,0,1,9,10,4451.94,3770.55,2252.05
4659.35,,9.6,1,0,1,9,15,4539.47,3852.42,2242.64
4738.89,,9.6,1,0,1,9,20,4659.35,3831.83,2237.17
4697.74,,9.6,1,0,1,9,25,4738.89,3918.91,2237.15
4777.51,,9.6,1,0,1,9,30,4697.74,3956.05,2223.64
4782.23,,9.6,1,0,1,9,35,4777.51,3988.57,2215.49
4856.75,,9.6,1,0,1,9,40,4782.23,4025.41,2213.07
4845.79,,9.6,1,0,1,9,45,4856.75,4073.7,2186.18
4866.21,,9.6,1,0,1,9,50,4845.79,4129.85,2184.89
4816.02,,9.6,1,0,1,9,55,4866.21,4188.43,2177.97
4969.45,,12.8,1,0,1,10,0,4816.02,4189.37,2182.55
4882.23,,12.8,1,0,1,10,5,4969.45,4217.07,2178.34
4853.3,,12.8,1,0,1,10,10,4882.23,4285.51,2178.6
4858.02,,12.8,1,0,1,10,15,4853.3,4305.83,2165.19
4911.61,,12.8,1,0,1,10,20,4858.02,4322.85,2177.22
4862.63,,12.8,1,0,1,10,25,4911.61,4340.53,2178.3
4842.95,,12.8,1,0,1,10,30,4862.63,4381.27,2177.18
4836.72,,12.8,1,0,1,10,35,4842.95,4454.79,2162.42
4794.13,,12.8,1,0,1,10,40,4836.72,4596.85,2164.0
4861.45,,12.8,1,0,1,10,45,4794.13,4601.68,2165.58
4861.83,,12.8,1,0,1,10,50,4861.45,4643.39,2159.88
4879.43,,12.8,1,0,1,10,55,4861.83,4620.07,2179.25
4850.99,,15.2,1,0,1,11,0,4879.43,4686.41,2197.31
4801.43,,15.2,1,0,1,11,5,4850.99,4708.38,2214.25
4768.04,,15.2,1,0,1,11,10,4801.43,4741.55,2224.71
4732.28,,15.2,1,0,1,11,15,4768.04,4730.57,2222.98
4723.45,,15.2,1,0,1,11,20,4732.28,4698.85,2238.83
4738.3,,15.2,1,0,1,11,25,4723.45,4729.05,2240.54
4713.05,,15.2,1,0,1,11,30,4738.3,4732.91,2260.57
4638.08,,15.2,1,0,1,11,35,4713.05,4707.31,2278.0
4614.62,,15.2,1,0,1,11,40,4638.08,4734.89,2286.39
4629.59,,15.2,1,0,1,11,45,4614.62,4825.36,2292.36
4565.35,,15.2,1,0,1,11,50,4629.59,4791.52,2317.69
4553.68,,15.2,1,0,1,11,55,4565.35,4840.4,2356.02
4521.78,,17.1,1,0,1,12,0,4553.68,4859.31,2368.73
4466.24,,17.1,1,0,1,12,5,4521.78,4825.21,2416.7
4478.22,,17.1,1,0,1,12,10,4466.24,4855.11,2454.18
4428.36,,17.1,1,0,1,12,15,4478.22,4846.28,2474.45
4468.06,,17.1,1,0,1,12,20,4428.36,4860.6,2525.24
4433.56,,17.1,1,0,1,12,25,4468.06,4809.24,2558.72
4394.37,,17.1,1,0,1,12,30,4433.56,4814.98,2599.89
4314.75,,17.1,1,0,1,12,35,4394.37,4797.18,2657.46
4273.87,,17.1,1,0,1,12,40,4314.75,4809.22,2709.27
4191.88,,17.1,1,0,1,12,45,4273.87,4779.97,2761.27
4225.47,,17.1,1,0,1,12,50,4191.88,4733.24,2803.4
4154.73,,17.1,1,0,1,12,55,4225.47,4712.76,2867.23
4063.37,,17.9,1,0,1,13,0,4154.73,4682.3,2976.64
3950.06,,17.9,1,0,1,13,5,4063.37,4696.93,3014.65
3931.79,,17.9,1,0,1,13,10,3950.06,4684.43,3090.58
3861.02,,17.9,1,0,1,13,15,3931.79,4683.32,3158.22
3855.77,,17.9,1,0,1,13,20,3861.02,4680.85,3234.78
3818.95,,17.9,1,0,1,13,25,3855.77,4679.1,3315.25
3748.39,,17.9,1,0,1,13,30,3818.95,4603.67,3366.68
3791.5,,17.9,1,0,1,13,35,3748.39,4582.13,3468.59
3786.92,,17.9,1,0,1,13,40,3791.5,4578.68,3540.04
3765.95,,17.9,1,0,1,13,45,3786.92,4500.9,3612.34
3740.71,,17.9,1,0,1,13,50,3765.95,4463.73,3652.59
3712.0,,17.9,1,0,1,13,55,3740.71,4465.14,3729.15
3778.89,,17.9,1,0,1,14,0,3712.0,4448.1,3808.33
3718.12,,17.9,1,0,1,14,5,3778.89,4424.3,3922.11
3707.61,,17.9,1,0,1,14,10,3718.12,4418.21,4023.35
3688.4,,17.9,1,0,1,14,15,3707.61,4347.09,4097.92
3692.98,,17.9,1,0,1,14,20,3688.4,4294.4,4162.21
3688.72,,17.9,1,0,1,14,25,3692.98,4286.59,4252.05
3743.54,,17.9,1,0,1,14,30,3688.72,4209.05,4354.86
3676.08,,17.9,1,0,1,14,35,3743.54,4193.28,4366.05
3651.63,,17.9,1,0,1,14,40,3676.08,4119.53,4433.52
3641.04,,17.9,1,0,1,14,45,3651.63,4102.88,4510.21
3638.49,,17.9,1,0,1,14,50,3641.04,3983.58,4532.36
3620.55,,17.9,1,0,1,14,55,3638.49,3961.19,4534.86
